[o],[l],[coh],[dt],[pid],[usr],[job]
2715940,26,EXTRA line beyond export count,6/8/2026 10:55:07 AM,R42750,EMILYM,CYRFLSGENP
2715940,26,EXTRA line beyond export count,6/8/2026 11:03:42 AM,R42750,EMILYM,CYRFLSGENP
2722060,1,EXTRA partial 3v1,6/16/2026 10:42:43 AM,EP42101,EMILYM,CYRFLSGENP
2722060,1,EXTRA partial 3v1,6/16/2026 10:42:46 AM,R42750,EMILYM,CYRFLSGENP
2722060,1,EXTRA partial 3v1,6/16/2026 1:08:24 PM,EP42101,SCHEONG,CYRFLSGENP
2722060,2,EXTRA partial 3v1,6/16/2026 10:42:43 AM,EP42101,EMILYM,CYRFLSGENP
2722060,2,EXTRA partial 3v1,6/16/2026 10:42:46 AM,R42750,EMILYM,CYRFLSGENP
2722060,2,EXTRA partial 3v1,6/16/2026 1:08:24 PM,EP42101,SCHEONG,CYRFLSGENP
2722060,3,EXTRA partial 3v1,6/16/2026 10:42:43 AM,EP42101,EMILYM,CYRFLSGENP
2722060,3,EXTRA partial 3v1,6/16/2026 10:42:46 AM,R42750,EMILYM,CYRFLSGENP
2722060,3,EXTRA partial 3v1,6/16/2026 1:08:24 PM,EP42101,SCHEONG,CYRFLSGENP
2724711,1,EXTRA 540/535 daily-batch,6/19/2026 3:17:28 PM,EP42101,KRISTINECO,CYRFLUSENP
2724711,1,EXTRA 540/535 daily-batch,6/19/2026 3:17:31 PM,R42750,KRISTINECO,CYRFLUSENP
2726950,1,"EXTRA whole order absent, completed",6/22/2026 3:47:56 PM,EP42101,DAVIDSI,CYRFLUSENP
2726950,1,"EXTRA whole order absent, completed",6/22/2026 3:48:01 PM,R42750,DAVIDSI,CYRFLUSENP
2726950,2,"EXTRA whole order absent, completed",6/22/2026 3:47:57 PM,EP42101,DAVIDSI,CYRFLUSENP
2726950,2,"EXTRA whole order absent, completed",6/22/2026 3:48:01 PM,R42750,DAVIDSI,CYRFLUSENP
2726950,3,"EXTRA whole order absent, completed",6/22/2026 3:47:57 PM,EP42101,DAVIDSI,CYRFLUSENP
2726950,3,"EXTRA whole order absent, completed",6/22/2026 3:48:01 PM,R42750,DAVIDSI,CYRFLUSENP
2727544,1,MISMATCH exemplar,6/23/2026 9:58:56 AM,EP42101,LAKEIACH,CYRFLUSENP
2727544,1,MISMATCH exemplar,6/23/2026 9:58:59 AM,R42750,LAKEIACH,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/24/2026 5:51:46 PM,EP42101,MAGIC,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/24/2026 5:51:49 PM,R42750,MAGIC,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/24/2026 9:17:19 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/24/2026 9:32:16 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 1:20:19 AM,R42995,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 1:21:06 AM,R42750,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 5:51:49 AM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 8:11:59 AM,EP42101,LAURAC,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 11:03:26 AM,EP42101,AMYBA,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 11:03:29 AM,R42750,AMYBA,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 9:16:36 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/25/2026 9:31:42 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/26/2026 5:51:34 AM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/26/2026 9:16:33 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/26/2026 9:31:44 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/27/2026 5:51:25 AM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/27/2026 9:16:51 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/27/2026 9:31:26 PM,ER42950,SCHED,CYRFLUSENP
2728566,1,EXTRA SA whole order absent,6/28/2026 5:51:24 AM,ER42950,SCHED,CYRFLUSENP
