"Company","MonthYr","Orders","Flex","Miss","MTO"
"00030","10-2022","44","19","1","18"
"00030","10-2023","49","24","9","27"
"00030","10-2024","59","20","11","24"
"00030","10-2025","61","16","6","39"
"00030","11-2020","78","47","18","18"
"00030","11-2021","48","21","3","13"
"00030","11-2022","43","28","1","15"
"00030","11-2023","53","16","3","28"
"00030","11-2024","50","25","2","25"
"00030","11-2025","67","22","15","37"
"00030","12-2020","77","33","21","24"
"00030","12-2021","52","23","4","16"
"00030","12-2022","26","8","0","14"
"00030","12-2023","45","21","0","24"
"00030","12-2024","61","31","0","20"
"00030","12-2025","52","23","8","18"
"00030","2-2021","44","17","13","9"
"00030","2-2022","40","17","4","15"
"00030","2-2023","28","11","3","12"
"00030","2-2024","62","22","0","26"
"00030","2-2025","56","22","1","25"
"00030","2-2026","55","33","1","22"
"00030","3-2021","86","41","28","22"
"00030","3-2022","57","28","3","17"
"00030","3-2023","44","17","5","22"
"00030","3-2024","59","19","0","17"
"00030","3-2025","61","30","8","30"
"00030","3-2026","71","60","0","40"
"00030","4-2020","57","29","7","13"
"00030","4-2021","58","23","15","18"
"00030","4-2022","55","29","3","15"
"00030","4-2023","39","15","2","16"
"00030","4-2024","78","26","6","30"
"00030","4-2025","62","33","4","20"
"00030","5-2020","15","8","2","6"
"00030","5-2021","62","23","19","18"
"00030","5-2022","59","31","6","17"
"00030","5-2023","41","18","8","23"
"00030","5-2024","69","22","3","30"
"00030","5-2025","49","22","1","20"
"00030","6-2020","36","25","2","8"
"00030","6-2021","54","11","13","10"
"00030","6-2022","57","26","9","23"
"00030","6-2023","38","10","5","27"
"00030","6-2024","59","23","1","23"
"00030","6-2025","63","28","3","25"
"00030","7-2020","48","20","1","20"
"00030","7-2021","79","22","12","14"
"00030","7-2022","49","25","5","11"
"00030","7-2023","48","18","5","22"
"00030","7-2024","55","23","1","31"
"00030","7-2025","39","14","3","15"
"00030","8-2020","3","3","0","1"
"00030","8-2021","61","20","3","15"
"00030","8-2022","59","37","2","16"
"00030","8-2023","61","34","10","33"
"00030","8-2024","51","27","0","24"
"00030","8-2025","62","24","1","26"
"00030","9-2020","46","36","2","7"
"00030","9-2021","69","27","7","21"
"00030","9-2022","36","26","0","9"
"00030","9-2023","39","12","7","23"
"00030","9-2024","34","10","1","17"
"00030","9-2025","66","27","3","29"
"00034","1-2021","43","36","0","7"
"00034","1-2022","22","22","0","0"
"00034","1-2023","30","29","0","1"
"00034","1-2024","42","42","0","0"
"00034","1-2025","40","37","0","3"
"00034","1-2026","58","57","0","2"
"00034","10-2020","51","46","0","15"
"00034","10-2021","28","27","0","1"
"00034","10-2022","29","29","0","0"
"00034","10-2023","45","43","0","2"
"00034","10-2024","46","44","0","3"
"00034","10-2025","33","31","1","2"
"00034","11-2020","29","24","0","7"
"00034","11-2021","36","36","0","0"
"00034","11-2022","27","26","0","1"
"00034","11-2023","45","45","0","0"
"00034","11-2024","54","54","0","2"
"00034","11-2025","31","31","0","0"
"00034","12-2020","45","40","0","9"
"00034","12-2021","36","36","0","0"
"00034","12-2022","29","25","0","1"
"00034","12-2023","40","40","0","0"
"00034","12-2024","34","34","0","0"
"00034","12-2025","42","40","0","2"
"00034","2-2021","18","17","0","0"
"00034","2-2022","17","17","0","0"
"00034","2-2023","38","35","0","3"
"00034","2-2024","16","16","0","0"
"00034","2-2025","27","27","0","3"
"00034","2-2026","46","44","0","6"
"00034","3-2021","44","43","0","3"
"00034","3-2022","35","35","0","0"
"00034","3-2023","30","27","0","2"
"00034","3-2024","47","44","0","3"
"00034","3-2025","33","33","0","2"
"00034","3-2026","39","38","0","10"
"00034","4-2020","11","7","0","4"
"00034","4-2021","43","41","0","3"
"00034","4-2022","19","19","0","0"
"00034","4-2023","38","36","0","2"
"00034","4-2024","54","52","0","3"
"00034","4-2025","39","39","0","0"
"00034","5-2020","22","21","0","3"
"00034","5-2021","36","36","0","2"
"00034","5-2022","32","31","0","1"
"00034","5-2023","36","33","0","2"
"00034","5-2024","36","34","0","2"
"00034","5-2025","32","30","0","2"
"00034","6-2020","40","34","0","7"
"00034","6-2021","38","38","0","0"
"00034","6-2022","51","51","0","0"
"00034","6-2023","33","26","0","6"
"00034","6-2024","36","35","0","1"
"00034","6-2025","39","36","0","3"
"00034","7-2020","46","46","0","1"
"00034","7-2021","43","41","0","2"
"00034","7-2022","42","40","0","1"
"00034","7-2023","37","34","0","0"
"00034","7-2024","50","47","0","5"
"00034","7-2025","48","46","0","2"
"00034","8-2020","25","17","0","8"
"00034","8-2021","53","51","0","2"
"00034","8-2022","40","39","0","1"
"00034","8-2023","35","34","0","1"
"00034","8-2024","49","49","0","1"
"00034","8-2025","37","36","0","1"
"00034","9-2020","30","30","0","16"
"00034","9-2021","48","47","0","1"
"00034","9-2022","43","42","0","1"
"00034","9-2023","47","44","0","3"
"00034","9-2024","49","49","0","2"
"00034","9-2025","47","46","0","1"
"00035","1-2021","36","34","0","2"
"00035","1-2022","39","15","0","7"
"00035","1-2023","29","24","0","1"
"00035","1-2024","35","26","0","3"
"00035","1-2025","30","29","0","0"
"00035","1-2026","24","21","0","1"
"00035","10-2020","25","22","0","2"
"00035","10-2021","43","15","0","16"
"00035","10-2022","18","14","0","1"
"00035","10-2023","38","22","0","7"
"00035","10-2024","28","28","0","0"
"00035","10-2025","41","41","0","0"
"00035","11-2020","51","40","0","18"
"00035","11-2021","45","17","0","17"
"00035","11-2022","30","27","0","0"
"00035","11-2023","39","36","0","3"
"00035","11-2024","36","35","0","0"
"00035","11-2025","39","38","0","1"
"00035","12-2020","45","43","0","2"
"00035","12-2021","42","8","0","17"
"00035","12-2022","34","27","0","1"
"00035","12-2023","35","22","0","0"
"00035","12-2024","39","37","0","1"
"00035","12-2025","39","38","0","2"
"00035","2-2021","50","28","0","19"
"00035","2-2022","35","11","0","12"
