BIQLETL,DimItemCost_CT,3
BIQLETL,ConfigSchemas,2
BIQLETL,DimSupplier_CT,2
BIQLETL,FactDocumentAudit_CT,2
BIQLETL,FactSupplierPricing_CT,2
BIQLCOA,ImportAudit,1
BIQLETL,FactPurchaseOrderHeader_CT,1
dbo,TM1_EDW_CURRENT_MONTH,1
BIQLETL,PS_CDC_States,1
dbo,TM1_EDW_PRIOR_YEAR,1
dbo,DimItemPreferenceGroups,1
BIQL,CurrentDate,1
dbo,DimCurrencyCrossRatesCalc,1
BIQLETL,DimCurrencyCrossRatesCalc_CT,0
BIQLETL,DimCurrencyCode_CT,0
BIQLETL,DimCompany_CT,0
BIQLETL,DimBusinessUnit_CT,0
BIQLETL,DimAsset_CT,0
BIQLETL,DimAssetEquipmentExtension_CT,0
BIQLETL,DimBillOfMaterial_CT,0
BIQLETL,DimAddressBookPhoneNumber_CT,0
BIQLETL,DimAddressMailing_CT,0
BIQLETL,DimAddressOrgStructure_CT,0
BIQLETL,DimAddressWhosWho_CT,0
dbo,DimAdvancedPricing,0
BIQLETL,DimAAI_CT,0
BIQLETL,DimAddress_CT,0
BIQLETL,DimAccount_CT,0
dbo,BIQL.GlobalConversions,0
dbo,BOM_Expanded_TM1,0
dbo,[TM1_EDW_SALES_PERSPECTIVE_STG_1],0
BIQL,_temp_UOMConvCheck,0
BIQLETL,DimItemBranchAdditionalInformation_History_CT,0
BIQLETL,DimItemBranchAdditionalInformation_CT,0
BIQLETL,DimItemBranch_History_CT,0
BIQLETL,DimItem_CT,0
BIQLETL,DimItemBasePrice_CT,0
BIQLETL,DimItemBasePriceCustomerKey_CT,0
BIQLETL,DimItemBasePriceItemKey_CT,0
BIQLETL,DimCustomerCommissionInfo_CT,0
BIQLETL,DimCurrencyRestatementRates_CT,0
BIQLETL,DimCurrencyExchangeRates_CT,0
BIQLETL,DimDisposalFee_CT,0
BIQLETL,DimDistributionAAI_CT,0
BIQLETL,DimIndustryClassification_CT,0
BIQLETL,DimItemPreferenceGroups_CT,0
BIQLETL,DimItemMasterAdditionalInformation_CT,0
BIQLETL,DimItemCostComponents_History_CT,0
BIQLETL,DimItemCrossReference_CT,0
BIQLETL,DimItemCost_History_CT,0
BIQLETL,DimItemCostComponents_CT,0
BIQLETL,DimPaymentTerms_CT,0
BIQLETL,DimLocation_CT,0
