EDW,BIQLETL,FactInventoryAsOfYearBalances_CT,BASE TABLE
EDW,BIQLETL,FactInventoryDetail_CT,BASE TABLE
EDW,BIQLETL,FactInventorySnapshot_CT,BASE TABLE
EDW,BIQLETL,FactInventorySnapshot_History_CT,BASE TABLE
EDW,BIQLETL,FactPriceAdjustmentDetail_CT,BASE TABLE
EDW,BIQLETL,FactPriceExceptions_CT,BASE TABLE
EDW,BIQLETL,FactPurchaseOrderDetail_CT,BASE TABLE
EDW,BIQLETL,FactPurchaseOrderDetailLedger_CT,BASE TABLE
EDW,BIQLETL,FactPurchaseOrderHeader_CT,BASE TABLE
EDW,BIQLETL,FactPurchaseOrderReceiver_CT,BASE TABLE
EDW,BIQLETL,FactQCDetail_CT,BASE TABLE
EDW,BIQLETL,FactQCPreferenceProfile_CT,BASE TABLE
EDW,BIQLETL,FactSalesDetail_CT,BASE TABLE
EDW,BIQLETL,FactSalesDetailHistory_CT,BASE TABLE
EDW,BIQLETL,FactSalesHeader_CT,BASE TABLE
EDW,BIQLETL,FactSalesHeaderHistory_CT,BASE TABLE
EDW,BIQLETL,FactSalesPriceAdjustments_CT,BASE TABLE
EDW,BIQLETL,FactSupplierPricing_CT,BASE TABLE
EDW,BIQLETL,FactWOPartsList_CT,BASE TABLE
EDW,BIQLETL,FactWOProductionCost_CT,BASE TABLE
EDW,BIQLETL,FactWORouting_CT,BASE TABLE
EDW,BIQLETL,FactWOTimeTransactions_CT,BASE TABLE
EDW,BIQLETL,PS_CDC_States,BASE TABLE
EDW,BIQLETL,SF_DimAccount_CT,BASE TABLE
EDW,BIQLETL,SF_DimCase_CT,BASE TABLE
EDW,BIQLETL,SF_DimOpportunityLineItem_CT,BASE TABLE
EDW,BIQLSEC,SecurityDimCompany,BASE TABLE
EDW,BIQLSEC,SecurityModule,BASE TABLE
EDW,BIQLSEC,SecurityRole,BASE TABLE
EDW,BIQLSEC,SecurityUser,BASE TABLE
EDW,BIQLSEC,SecurityUserRole,BASE TABLE
EDW,dbo,[TM1_EDW_SALES_PERSPECTIVE_STG_1],BASE TABLE
EDW,dbo,BIQL.GlobalConversions,BASE TABLE
EDW,dbo,BOM_Expanded_TM1,BASE TABLE
EDW,dbo,CalendarDescriptions,BASE TABLE
EDW,dbo,CostMethodsToSkip,BASE TABLE
EDW,dbo,DimAAI,BASE TABLE
EDW,dbo,DimAccount,BASE TABLE
EDW,dbo,DimAddress,BASE TABLE
EDW,dbo,DimAddressBookPhoneNumber,BASE TABLE
EDW,dbo,DimAdvancedPricing,BASE TABLE
EDW,dbo,DimAsset,BASE TABLE
EDW,dbo,DimBillOfMaterial,BASE TABLE
EDW,dbo,DimBusinessUnit,BASE TABLE
EDW,dbo,DimCalendar,BASE TABLE
EDW,dbo,DimCompany,BASE TABLE
EDW,dbo,DimCurrencyCode,BASE TABLE
EDW,dbo,DimCurrencyCrossRatesCalc,BASE TABLE
EDW,dbo,DimCurrencyExchangeRates,BASE TABLE
EDW,dbo,DimCurrencyRestatementRates,BASE TABLE
EDW,dbo,DimCustomer,BASE TABLE
EDW,dbo,DimCustomerCommissionInfo,BASE TABLE
EDW,dbo,DimDisposalFee,BASE TABLE
EDW,dbo,DimDistributionAAI,BASE TABLE
EDW,dbo,DimDocumentType,BASE TABLE
EDW,dbo,DimIndustryClassification,BASE TABLE
EDW,dbo,DimItem,BASE TABLE
EDW,dbo,DimItemBasePrice,BASE TABLE
EDW,dbo,DimItemBranch,BASE TABLE
