OrderCo,OrderNum,LineNum,LocalCcy,OrderDate,GLDate,Net,NetUSD,NetEUR,BOAmt,BOAmtEUR,BOAmtLC,QtyBO,QtyOrd,QtyShip,ExtCost,ExtCostUSD,ExtCostEUR,BOCost,BOCostEUR,XRateUSD,CFUSD
00010,1073037,1.0,USD,2020-02-04T00:00:00,2020-02-06T00:00:00,1831.5,1831.5,,0.0,0.0,0.0,0.0,1.0,1.0,985.14,985.14,,0.0,0.0,1.0,1.0
00010,1118198,1.0,USD,2020-04-30T00:00:00,2020-06-02T00:00:00,1444.5,1444.5,,0.0,0.0,0.0,0.0,1.0,1.0,957.83,957.83,,0.0,0.0,1.0,1.0
00010,1155745,1.0,USD,2020-07-06T00:00:00,2020-07-09T00:00:00,237.2,237.2,,0.0,0.0,0.0,0.0,1.0,1.0,61.81,61.81,,0.0,0.0,1.0,1.0
00010,1209232,1.0,USD,2020-10-08T00:00:00,2021-01-06T00:00:00,1827.0,1827.0,,0.0,0.0,0.0,0.0,1.0,1.0,1270.35,1270.35,,0.0,0.0,1.0,1.0
00010,1231407,1.0,USD,2020-11-13T00:00:00,2020-11-24T00:00:00,295.6,295.6,,0.0,0.0,0.0,0.0,1.0,1.0,424.61,424.61,,0.0,0.0,1.0,1.0
00010,1328447,1.0,USD,2021-04-20T00:00:00,2021-06-30T00:00:00,2101.5,2101.5,,0.0,0.0,0.0,0.0,1.0,1.0,1153.8,1153.8,,0.0,0.0,1.0,1.0
00010,1355915,1.0,USD,2021-06-03T00:00:00,2021-08-10T00:00:00,2101.5,2101.5,,0.0,0.0,0.0,0.0,1.0,1.0,1153.8,1153.8,,0.0,0.0,1.0,1.0
00010,1594858,1.0,USD,2022-05-16T00:00:00,2022-05-25T00:00:00,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,315.14,315.14,,0.0,0.0,1.0,1.0
00010,1058396,1.0,USD,2020-01-07T00:00:00,2020-01-16T00:00:00,1332.0,1332.0,,0.0,0.0,0.0,0.0,1.0,1.0,766.13,766.13,,0.0,0.0,1.0,1.0
00010,1067200,1.0,USD,2020-01-24T00:00:00,2020-01-30T00:00:00,1332.0,1332.0,,0.0,0.0,0.0,0.0,1.0,1.0,766.13,766.13,,0.0,0.0,1.0,1.0
00010,1187797,1.0,USD,2020-08-31T00:00:00,2020-09-11T00:00:00,5610.0,5610.0,,0.0,0.0,0.0,0.0,1.0,1.0,5438.4,5438.4,,0.0,0.0,1.0,1.0
00010,1196112,1.0,USD,2020-09-15T00:00:00,2020-09-29T00:00:00,5610.0,5610.0,,0.0,0.0,0.0,0.0,1.0,1.0,5306.4,5306.4,,0.0,0.0,1.0,1.0
00010,1229965,1.0,USD,2020-11-11T00:00:00,2020-11-19T00:00:00,5610.0,5610.0,,0.0,0.0,0.0,0.0,1.0,1.0,5306.4,5306.4,,0.0,0.0,1.0,1.0
