Branch,ParentItem2nd,CompItem2nd,CompBulk,CompGlobalBulk,CompItem2ndIM,CompBulkIM,CompBranch,TypeBOM,EffFrom,EffThru,Qty,QtyBatch,CompLineNum,RevLevel,UOM,IsCurrent,DWSource,CompIBSKey,ParentIBSKey
USCM,U701,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2019-03-26T00:00:00,2040-12-31T00:00:00,7.989,0.0,0.0,,LB,0,1,115660,115667
USCM,U2022,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2019-03-26T00:00:00,2040-12-31T00:00:00,11.1312,0.0,0.0,,LB,0,1,115660,115676
USCM,U502,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2019-03-29T00:00:00,2040-12-31T00:00:00,7.258,0.0,0.0,,LB,0,1,115660,115706
USCM,MDU20,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2015-08-10T00:00:00,2040-12-31T00:00:00,5.7377,0.0,0.0,,LB,0,1,115660,115708
USCM,U802,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2020-04-30T00:00:00,2040-12-31T00:00:00,9.1,0.0,0.0,,LB,0,1,115660,115712
USCM,U501B,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2019-03-26T00:00:00,2040-12-31T00:00:00,7.258,0.0,0.0,,LB,0,1,115660,115753
USCM,U2023,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2019-03-29T00:00:00,2040-12-31T00:00:00,11.1312,0.0,0.0,,LB,0,1,115660,115724
USCM,U470,ABEX2525,ABEX2525,ABEX2525,ABEX2525,ABEX2525,USCM,M,2016-08-25T00:00:00,2040-12-31T00:00:00,7.306,0.0,0.0,,LB,0,1,115660,115725
USCM,191245PX,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,USCM,M,2023-02-23T00:00:00,2040-12-31T00:00:00,0.0,0.0,0.0,,LB,0,1,115748,115742
USCM,161190PX,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,FERSUL7W,USCM,M,2023-01-25T00:00:00,2040-12-31T00:00:00,0.003,0.0,0.0,,LB,0,1,115748,115726
