RecType,ExclFreight,Cancelled,ExclBudget,OrderExcl,BulkIn,NumBulkIn,LineF,ML,n,usd,eur,lb,kg,cm,cost
Sales Detail,Y,0,Y,Show,Y,Y,N,N,2868,53711733.8248,14919296.5604,11519714.829841638,5201287.944563475,15536785.33,38635266.9285
Sales Detail,Y,1,Y,Show,Y,Y,N,N,533,31854.56,0.0,3110378.911133798,1401783.2411977109,9972.96,21881.6
