DocNum,LineNum,RecvDate,Item2nd,UOMTxn,UOMPrim,UOMPurch,IBUOMPrim,Qty,QtyLB,QtyKG,CFLB,CFKG,QtyOrd,QtyStocked
228672,1.0,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,18.0,6300.0,2857.6313999999998,350.0,158.7573,0.0,0.0
228540,1.001,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,5.0,1750.0,793.7864999999999,350.0,158.7573,0.0,0.0
228542,1.002,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
228544,1.003,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
228546,1.004,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,10.0,3500.0,1587.5729999999999,350.0,158.7573,0.0,0.0
228667,1.005,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
228669,1.006,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,21.0,7350.0,3333.9033,350.0,158.7573,0.0,0.0
229832,1.0,2022-06-14T00:00:00,WD40-UN,DR,LB,LB,LB,1.0,350.0,158.7573,350.0,158.7573,0.0,0.0
229834,1.0,2022-06-14T00:00:00,WD40-UN,DR,LB,LB,LB,11.0,3850.0,1746.3302999999999,350.0,158.7573,0.0,0.0
230622,1.0,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
230616,1.001,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
230618,1.002,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
230620,1.003,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
230597,1.0,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,11.0,3850.0,1746.3302999999999,350.0,158.7573,0.0,0.0
234005,1.0,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
231936,1.001,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,4.0,1400.0,635.0292,350.0,158.7573,0.0,0.0
231938,1.002,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,0.0,0.0
231940,1.003,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,15.0,5250.0,2381.3594999999996,350.0,158.7573,0.0,0.0
233999,1.004,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,16.0,5600.0,2540.1168,350.0,158.7573,0.0,0.0
234001,1.005,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,15.0,5250.0,2381.3594999999996,350.0,158.7573,0.0,0.0
234003,1.006,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,12.0,4200.0,1905.0875999999998,350.0,158.7573,0.0,0.0
228652,1.001,2022-05-25T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
231933,2.001,2022-07-19T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
235574,3.0,2022-09-22T00:00:00,??????,DR,,DR,,-1.0,-470.0,-200.0,470.0,200.0,-1.0,-1.0
213480,1.0,2021-09-14T00:00:00,??????,LB,,LB,,470.0,470.0,470.0,1.0,1.0,470.0,470.0
229429,2.007,2022-06-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
229429,3.007,2022-06-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
216963,1.0,2021-11-04T00:00:00,??????,EA,,EA,,1010.0,1010.0,458.136,1.0,0.4536,1010.0,1010.0
216963,3.0,2021-11-04T00:00:00,??????,EA,,EA,,356.0,356.0,161.48160000000001,1.0,0.4536,356.0,356.0
216963,4.0,2021-11-04T00:00:00,??????,EA,,EA,,8280.0,8280.0,3755.808,1.0,0.4536,8280.0,8280.0
216963,5.0,2021-11-04T00:00:00,??????,EA,,EA,,4275.0,4275.0,1939.14,1.0,0.4536,4275.0,4275.0
216963,6.0,2021-11-04T00:00:00,??????,EA,,EA,,819.0,819.0,371.4984,1.0,0.4536,819.0,819.0
216963,7.0,2021-11-04T00:00:00,??????,EA,,EA,,21833.0,21833.0,9903.4488,1.0,0.4536,21833.0,21833.0
216963,8.0,2021-11-04T00:00:00,??????,EA,,EA,,4030.0,4030.0,1828.008,1.0,0.4536,4030.0,4030.0
209664,5.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
209660,3.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
209704,3.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
209770,4.0,2021-07-14T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
209662,1.0,2021-07-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
221342,3.0,2022-01-17T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
219772,1.0,2021-12-16T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
221047,1.0,2022-01-11T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
226108,3.0,2022-04-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
228648,3.0,2022-05-25T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
240232,1.0,2023-01-03T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
264480,1.0,2024-05-02T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
294876,1.0,2026-03-27T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
238198,5.0,2022-11-17T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
20002878,4.0,2020-06-16T00:00:00,??????,EA,,EA,,10146.0,10146.0,4602.2256,1.0,0.4536,10146.0,10146.0
216963,2.0,2021-11-04T00:00:00,??????,EA,,EA,,923.0,923.0,418.6728,1.0,0.4536,923.0,923.0
19005151,2.0,2020-02-21T00:00:00,??????,EA,,EA,,10245.0,10245.0,4647.132,1.0,0.4536,10245.0,10245.0
187115,2.0,2020-05-05T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
211105,2.0,2021-08-04T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
220951,2.0,2022-01-10T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
226108,2.0,2022-04-07T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
210062,3.0,2021-07-19T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
219209,2.0,2021-12-08T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
230893,4.0,2022-07-01T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
230891,2.0,2022-07-01T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
263465,1.0,2024-04-12T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
237077,2.0,2022-10-26T00:00:00,INNERC,EA,LB,LB,LB,7000.0,7000.0,3175.2,1.0,0.4536,7000.0,7000.0
234573,2.0,2022-09-02T00:00:00,CRTNDARK,LB,EA,LB,EA,19125.0,19125.0,19125.0,1.0,1.0,19125.0,19125.0
234573,4.0,2022-09-02T00:00:00,CADCRTNCLEAR,LB,EA,LB,EA,7768.0,7768.0,7768.0,1.0,1.0,7768.0,7768.0
234573,5.0,2022-09-02T00:00:00,CADCRTNDARK,LB,EA,LB,EA,12990.0,12990.0,12990.0,1.0,1.0,12990.0,12990.0
234573,1.0,2022-09-02T00:00:00,CRTNCLEAR,LB,EA,LB,EA,13895.0,13895.0,13895.0,1.0,1.0,13895.0,13895.0
226296,5.0,2022-04-11T00:00:00,??????,EA,,EA,,1468.43,1468.43,666.0798480000001,1.0,0.4536,1468.43,1468.43
226433,3.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
226313,2.0,2022-04-12T00:00:00,??????,EA,,EA,,1485.54,1485.54,673.840944,1.0,0.4536,1485.54,1485.54
230296,3.0,2022-06-21T00:00:00,??????,EA,,EA,,17208.0,17208.0,7805.5488000000005,1.0,0.4536,17208.0,17208.0
228338,2.0,2022-05-19T00:00:00,??????,EA,,EA,,19158.24,19158.24,8690.177664,1.0,0.4536,19158.24,19158.24
226435,2.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
226437,2.0,2022-04-13T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
227192,3.0,2022-04-28T00:00:00,??????,EA,,EA,,1.0,1.0,0.4536,1.0,0.4536,1.0,1.0
185020,2.0,2020-03-23T00:00:00,MW40504-C2,LB,EA,LB,EA,1868.0,1868.0,1868.0,1.0,1.0,1868.0,1868.0
229568,1.0,2022-06-09T00:00:00,WD40-UN,DR,LB,LB,LB,10.0,3500.0,1587.5729999999999,350.0,158.7573,10.0,10.0
228520,1.001,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228522,1.002,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228524,1.003,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228528,1.004,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228534,1.005,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,5.0,1750.0,793.7864999999999,350.0,158.7573,5.0,5.0
229568,1.006,2022-06-09T00:00:00,WD40-UN,DR,LB,LB,LB,10.0,3500.0,1587.5729999999999,350.0,158.7573,10.0,10.0
229568,1.007,2022-06-09T00:00:00,WD40-UN,DR,LB,LB,LB,10.0,3500.0,1587.5729999999999,350.0,158.7573,10.0,10.0
228671,1.0,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,18.0,6300.0,2857.6313999999998,350.0,158.7573,18.0,18.0
228539,1.001,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,5.0,1750.0,793.7864999999999,350.0,158.7573,5.0,5.0
228541,1.002,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228543,1.003,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228545,1.004,2022-05-23T00:00:00,WD40-UN,DR,LB,LB,LB,10.0,3500.0,1587.5729999999999,350.0,158.7573,10.0,10.0
228666,1.005,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
228668,1.006,2022-05-25T00:00:00,WD40-UN,DR,LB,LB,LB,21.0,7350.0,3333.9033,350.0,158.7573,21.0,21.0
229831,1.0,2022-06-14T00:00:00,WD40-UN,DR,LB,LB,LB,1.0,350.0,158.7573,350.0,158.7573,1.0,1.0
229833,1.0,2022-06-14T00:00:00,WD40-UN,DR,LB,LB,LB,11.0,3850.0,1746.3302999999999,350.0,158.7573,11.0,11.0
230621,1.0,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
230615,1.001,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
230617,1.002,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
230619,1.003,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
230596,1.0,2022-06-27T00:00:00,WD40-UN,DR,LB,LB,LB,11.0,3850.0,1746.3302999999999,350.0,158.7573,11.0,11.0
234004,1.0,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
231935,1.001,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,4.0,1400.0,635.0292,350.0,158.7573,4.0,4.0
231937,1.002,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,20.0,7000.0,3175.1459999999997,350.0,158.7573,20.0,20.0
231939,1.003,2022-07-19T00:00:00,WD40-UN,DR,LB,LB,LB,15.0,5250.0,2381.3594999999996,350.0,158.7573,15.0,15.0
233998,1.004,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,16.0,5600.0,2540.1168,350.0,158.7573,16.0,16.0
234000,1.005,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,15.0,5250.0,2381.3594999999996,350.0,158.7573,15.0,15.0
234002,1.006,2022-08-25T00:00:00,WD40-UN,DR,LB,LB,LB,12.0,4200.0,1905.0875999999998,350.0,158.7573,12.0,12.0
256829,2.0,2023-11-30T00:00:00,CRTNWHITE,EA,LB,LB,LB,144.0,144.0,65.3184,1.0,0.4536,144.0,144.0
23002566,1.0,2023-08-07T00:00:00,??????,KG,,KG,,15.0,33.069,15.0,2.2046,1.0,15.0,15.0
