Branch,GlobalBulk,Bulk,Item2nd,StockType,MPF,LeadTimeLevel,LeadTimeMFG,PlanningCode,PTF,SafetyStock,SafetyStockSAFE,ShelfLife,SupplierNum,SupplierName,PlannerNum,PlannerName,Planner,BuyerNum,BuyerName,ActiveFlag,Partition,SRC01,SRC01Desc,SRC03,SRC03Desc,SRC04,SRC04Desc,StockTypeDesc,MPFDesc
        SING,U2022,U2022,U2022-OP,P,TOL,115,42,2,21,,,365,292450,"Michelman, Inc.",333572,Vernon Lee,Other,335738,"Sim, Helen",Y,1,URE,Polyurethanes,I94,U2022,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        SNG4,U2022,U2022,U2022-OP,P,TOL,115,1,2,21,,,365,292450,"Michelman, Inc.",333572,Vernon Lee,Other,335738,"Sim, Helen",Y,1,URE,Polyurethanes,I94,U2022,C,Commercial,Purchased inc. Raw Material,Toll Manufacturing
        CIN2,MD4020,MD4020,MD4020-C2,D,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",Y,1,PST,Paste Wax,C8S,MD4020,CP,Commercial Proprietary,Distributed Item,Toll Manufacturing
        CIN2,MD4021,MD4021,MD4021-C2,O,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,C8T,MD4021,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,MD4023,MD4023,MD4023-C2,O,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,BTP,MD4023,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,MD4021C,MD4021C,MD4021C-C2,O,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,C9I,MD4021C,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,MD4022C,MD4022C,MD4022C-C2,O,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,C9J,MD4022C,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CIN2,MD4023C,MD4023C,MD4023C-C2,O,TOL,112,112,2,140,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,C9K,MD4023C,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CINC,MD4023,MD4023,MD4023-C2,O,TOL,112,112,2,15,,,365,328211,"BPI Packaging, LLC",324287,Brent Harris,Other,300328,"Lye, May Leng (Josephine)",N,1,PST,Paste Wax,BTP,MD4023,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
        CINC,APT10,APT10,APT10,O,TOL,56,1,2,20,,,365,0,,324287,Brent Harris,Other,337883,"Keevan, Joseph",N,1,PUD,Polyurethane Dispersion,BYD,APT10,CP,Commercial Proprietary,"Obsolete (To Order, Call MKT)",Toll Manufacturing
