MatchType,DocType,OrdType,OrderCo,OrderNum,DocNum,LineNum,TxnDate,RecvDate,GLDate,SupplierNum,SupplierName,Item2nd,Bulk,GlobalBulk,Qty,QtyLB,QtyKG,Amt,USD,EUR
2,PV,OP,00010,133318,21022627,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
2,PV,OP,00010,133318,21022627,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
2,PV,OP,00010,133318,21022627,1.0,2021-11-23T00:00:00,2021-11-23T00:00:00,2021-11-23T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,48188.8,48188.8,42783.9972
2,PV,OP,00010,145725,23002286,1.0,2023-02-07T00:00:00,2023-02-07T00:00:00,2023-02-07T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,60878.4,60878.4,56859.3602
1,OV,OP,00010,131460,209604,1.0,2021-07-12T00:00:00,2021-07-12T00:00:00,2021-07-12T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35798.4729
1,OV,OP,00010,131460,209693,1.0,2021-07-13T00:00:00,2021-07-13T00:00:00,2021-07-13T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35940.4807
1,OV,OP,00010,131462,210721,1.0,2021-07-29T00:00:00,2021-07-29T00:00:00,2021-07-29T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,42451.2,42451.2,35717.7138
1,OV,OP,00010,131462,211158,1.0,2021-08-04T00:00:00,2021-08-04T00:00:00,2021-08-04T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,46094.4,46094.4,38924.5175
1,OV,OP,00010,122735,192120,1.0,2020-09-01T00:00:00,2020-09-01T00:00:00,2020-09-01T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43260.8,43260.8,36211.3748
1,OV,OP,00010,122735,192122,1.0,2020-09-01T00:00:00,2020-09-01T00:00:00,2020-09-01T00:00:00,292788,Ortec Inc.,U201-T2,U201,U201,17600.0,17600.0,7983.36,43260.8,43260.8,36211.3748
1,OV,OP,00010,118976,182475,1.0,2020-01-30T00:00:00,2020-01-30T00:00:00,2020-01-30T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,43243.2,43243.2,39224.0602
1,OV,OP,00010,119865,184947,1.0,2020-03-20T00:00:00,2020-03-20T00:00:00,2020-03-20T00:00:00,292788,Ortec Inc.,MDU20-T2,MDU20,MDU20,17600.0,17600.0,7983.36,43243.2,43243.2,40232.4571
